"D_No Fournisseur","D_Fournisseur","D_Profession fourn","UTILISATEUR","Temps de revision (jours)","Revision Lundi","Revision Mardi","Revision Mercredi","Revision Jeudi","Revision Vendredi"
"82702","V.M.D. ALIMENTS  *","Aliment","CHRISTOPHE",3,"X",,,"X",
"82705","VETO MEDICO SERVICE","Médicament","HEINEVI",1,,,"x",,
"82749","VOMED","Matériel","X",5,,,,"X",
"82805","WALDMANN ECLAIRAGE SAS","Matériel","X",5,"X",,,,
"82905","DOMETIC (WAECO BENELUX BV)","Matériel","X",1,"X","X","X","X","X"
"82908","WANAPI PRINTING TECH SIGN SPRL","Matériel","X",5,,"X",,,
"82918","WAUTHIER DANIEL","Matériel","X",5,"X",,,,
"82922","WITTE & SUTOR","Matériel","X",5,"X",,,,
"82930","WILKHAS NV","Matériel","X",1,"X","X","X","X","X"
"82936","WEENECT-HAREAU SAS","Matériel","X",1,,,"x",,
"82945","WOIWODE GMBH&CO.KG","Matériel","X",5,"X",,,,
"82948","WOODLEY EQUIPMENT COMPANY LTD","Matériel","X",5,,"X",,,
"82949","WITJES VERZENDHUIS","Matériel","X",,,,,,
"82960","WUIDAR","Matériel","X",1,"X","X","X","X","X"
"83145","MAISON DUBOIS","Matériel","X",5,"X",,,,
"83150","MAISON WOLF","Matériel","X",5,"X",,,,
"83215","KAIXIN ELECTRONIC INSTRUME","Matériel","X",1,,,"x",,
"83300","KELA VETERINARIA   *","Médicament","CHRISTOPHE",3,"X",,,"X",
"83305","KOMMER-BIOPHARM B.V","Matériel","X",3,,"X",,,"X"
"83311","KRKA BELGIUM","Médicament","HEINEVI",1,"X",,,"X",
"83315","KERBL ALBERT GMBH","Matériel","X",1,"X","X","X","X","X"
"83320","KOB","Matériel","X",5,"X",,,,
"83322","KERBL FRANCE SARL","Materiel","X",1,,,,,
"83330","K-LASER USA","Matériel","X",1,"X","X","X","X","X"
"93910","STEROP","Médicament","HEINEVI",1,,,"x",,
"93920","SUPERPLASTIC","Matériel","X",1,"X","X","X","X","X"
"95050","BELGAGRI","Autres marchandises","HEINEVI",3,"X",,,"X",
"95120","VISAVET S.A.R.L.","Médicament","CHRISTOPHE",3,,"X",,,"X"
"95150","ALCYON BELUX","Autres frais généraux","HEINEVI",1,"X","X","X","X","X"
"95400","ZIEGLER","Matériel","X",1,"X","X","X","X","X"
