id,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_3265436,3.00,177.000,0,0,0,100.000
__import__.product_3265444,7.00,70.000,0,0,0,40.000
__import__.product_3265477,3.00,70.000,0,0,0,25.000
__import__.product_3265501,3.00,291.000,0,0,0,180.000
__import__.product_3265519,7.00,40.000,0,0,0,12.000
__import__.product_3265527,7.00,220.000,0,0,0,130.000
__import__.product_3265543,3.00,130.000,0,0,0,75.000
__import__.product_3265550,7.00,44.000,0,0,0,24.000
__import__.product_3265568,3.00,75.000,0,0,0,38.000
__import__.product_3265592,7.00,18.000,0,0,0,10.000
__import__.product_3265626,3.00,23.000,0,0,0,13.000
__import__.product_3265634,7.00,12.000,0,0,0,6.000
__import__.product_3265659,3.00,6.000,0,0,0,3.000
__import__.product_3265667,7.00,8.000,0,0,0,4.000
__import__.product_3265683,3.00,70.000,0,0,0,25.000
__import__.product_3265691,7.00,20.000,0,0,0,12.000
__import__.product_3265725,16.00,260.000,0,0,0,170.000
__import__.product_3265733,3.00,12.000,0,0,0,8.000
__import__.product_3265741,7.00,9.000,0,0,0,5.000
__import__.product_3265766,3.00,55.000,0,0,0,28.000
__import__.product_3265774,7.00,50.000,0,0,0,20.000
__import__.product_3265808,3.00,16.000,0,0,0,10.000
__import__.product_3265816,7.00,12.000,0,0,0,7.000
__import__.product_3268174,0.10,60.000,0,0,0,24.000
__import__.product_3268489,0.30,26.000,0,0,0,14.000
__import__.product_3271863,0.80,16.000,0,0,0,8.000
__import__.product_3272762,0.10,20.000,0,0,0,10.000
__import__.product_3272994,0.10,120.000,0,0,0,60.000
__import__.product_3273000,0.10,100.000,0,0,0,40.000
__import__.product_3274461,0.20,15.000,0,0,0,8.000
__import__.product_3274511,0.10,20.000,0,0,0,10.000
__import__.product_3274644,0.10,40.000,0,0,0,20.000
__import__.product_3276649,0.10,2.000,0,0,0,1.000
__import__.product_3277142,0.10,24.000,0,0,0,12.000
__import__.product_3277175,0.20,9.000,0,0,0,3.000
__import__.product_3277183,0.30,4.000,0,0,0,2.000
__import__.product_3277191,0.20,4.000,0,0,0,2.000
__import__.product_3280914,0.20,80.000,0,0,0,40.000
__import__.product_3280922,0.20,50.000,0,0,0,30.000
__import__.product_3280948,0.20,16.000,0,0,0,8.000
__import__.product_3282134,0.10,32.000,0,0,0,12.000
__import__.product_3287083,4.00,150.000,0,0,0,55.000
__import__.product_3287900,3.00,13.000,23.00,25.00,10.00,4.000
__import__.product_3288000,5.00,10.000,41.60,31.70,9.00,4.000
__import__.product_3289451,0.20,37.000,0,0,0,20.000
__import__.product_3289477,0.20,50.000,0,0,0,20.000
__import__.product_3289485,0.20,70.000,0,0,0,30.000
__import__.product_3294238,0.60,6.000,0,0,0,3.000
__import__.product_3294535,2.00,120.000,0,0,0,70.000
__import__.product_3297728,1.20,6.000,0,0,0,3.000
__import__.product_3297736,5.00,10.000,0,0,0,6.000
__import__.product_3297744,1.00,22.000,0,0,0,10.000
__import__.product_3308376,0.10,7.000,0,0,0,3.000
__import__.product_3309192,0.50,24.000,0,0,0,12.000
__import__.product_3315314,0.10,8.000,0,0,0,4.000
__import__.product_3315702,0.10,110.000,0,0,0,60.000
__import__.product_3315751,0.10,58.000,0,0,0,28.000
__import__.product_3315769,0.10,20.000,0,0,0,10.000
__import__.product_3315777,0.10,40.000,0,0,0,20.000
__import__.product_3315785,0.10,48.000,0,0,0,28.000
__import__.product_3315793,0.10,60.000,0,0,0,30.000
__import__.product_3317021,0.10,200.000,0,0,0,100.000
__import__.product_3317039,0.10,1200.000,0,0,0,800.000
__import__.product_3317047,0.10,200.000,0,0,0,100.000
__import__.product_3319332,0.10,12.000,0,0,0,6.000
__import__.product_3323771,0.20,30.000,0,0,0,20.000
__import__.product_3323789,0.10,30.000,0,0,0,20.000
__import__.product_3334778,0.20,90.000,0,0,0,60.000
__import__.product_3341849,0.10,48.000,0,0,0,24.000
__import__.product_3341864,0.20,24.000,0,0,0,14.000
__import__.product_3341872,0.20,240.000,0,0,0,140.000
__import__.product_3344363,0.20,20.000,0,0,0,10.000
__import__.product_3349503,0.10,10.000,0,0,0,6.000
__import__.product_3352457,0.20,30.000,0,0,0,15.000
__import__.product_3352960,3.00,4.000,0,0,0,2.000
__import__.product_3362068,0.10,57.000,0,0,0,36.000
__import__.product_3363017,0.10,20.000,0,0,0,10.000
__import__.product_3363025,0.10,20.000,0,0,0,10.000
__import__.product_3364395,0.10,80.000,0,0,0,40.000
__import__.product_3367612,2.20,2.000,0,0,0,1.000
__import__.product_3380441,0.20,6.000,0,0,0,3.000
__import__.product_3380490,0.20,12.000,0,0,0,6.000
__import__.product_3380516,0.20,6.000,0,0,0,3.000
__import__.product_3380524,0.20,12.000,0,0,0,6.000
__import__.product_3381274,2.00,2.000,0,0,0,1.000
__import__.product_3381290,0.50,2.000,0,0,0,1.000
__import__.product_3381332,1.00,5.000,0,0,0,3.000
__import__.product_3381340,0.50,4.000,0,0,0,2.000
__import__.product_3392149,2.60,14.000,0,0,0,8.000
__import__.product_3392743,2.00,2.000,0,0,0,1.000
__import__.product_3392750,0.60,80.000,0,0,0,50.000
__import__.product_3392768,0.60,48.000,0,0,0,18.000
__import__.product_3392776,2.00,4.000,0,0,0,2.000
__import__.product_3394269,0.10,6.000,0,0,0,4.000
__import__.product_3396751,0.20,12.000,0,0,0,5.000
__import__.product_3404076,0.10,70.000,0,0,0,40.000
__import__.product_3408382,0.10,30.000,0,0,0,15.000
__import__.product_3409943,0.20,5.000,0,0,0,3.000
__import__.product_3409968,0.10,36.000,0,0,0,18.000
__import__.product_3409992,0.10,2.000,0,0,0,1.000
__import__.product_3410008,0.10,2.000,0,0,0,1.000
__import__.product_3410180,0.10,150.000,0,0,0,70.000
__import__.product_3410206,0.10,120.000,0,0,0,50.000
__import__.product_3410214,0.10,210.000,0,0,0,100.000
__import__.product_3410222,0.10,120.000,0,0,0,60.000
__import__.product_3411238,0.10,20.000,0,0,0,10.000
__import__.product_3411824,0.20,8.000,0,0,0,4.000
__import__.product_3418688,0.10,120.000,0,0,0,60.000
__import__.product_3419520,0.20,8.000,0,0,0,4.000
__import__.product_3419561,0.20,24.000,0,0,0,12.000
__import__.product_3419736,0.10,20.000,0,0,0,10.000
__import__.product_3419744,0.05,5.000,0,0,0,2.000
__import__.product_3419751,0.10,20.000,0,0,0,10.000
__import__.product_3419769,0.10,12.000,0,0,0,6.000
__import__.product_3420486,0.10,20.000,0,0,0,10.000
__import__.product_3424371,0.10,100.000,0,0,0,50.000
__import__.product_3426988,0.50,22.000,0,0,0,10.000
__import__.product_3426996,1.00,24.000,0,0,0,12.000
__import__.product_3427002,2.50,6.000,0,0,0,3.000
__import__.product_3427309,0.50,48.000,0,0,0,24.000
__import__.product_3427317,1.00,50.000,0,0,0,25.000
__import__.product_3433893,0.30,100.000,0,0,0,50.000
__import__.product_3433901,0.10,120.000,0,0,0,60.000
__import__.product_3433927,0.30,120.000,0,0,0,60.000
__import__.product_3433935,0.10,80.000,0,0,0,40.000
__import__.product_3433968,0.10,200.000,0,0,0,100.000
__import__.product_3437639,0.10,12.000,0,0,0,6.000
__import__.product_3437647,0.10,12.000,0,0,0,6.000
__import__.product_3439635,0.10,20.000,0,0,0,10.000
__import__.product_3443207,0.10,40.000,0,0,0,20.000
__import__.product_3443215,0.20,60.000,0,0,0,30.000
__import__.product_3443223,0.10,40.000,0,0,0,20.000
__import__.product_3443231,0.20,35.000,0,0,0,15.000
__import__.product_3444288,0.10,100.000,0,0,0,60.000
__import__.product_3444296,0.10,40.000,0,0,0,20.000
__import__.product_3444304,0.10,30.000,0,0,0,20.000
__import__.product_3444312,0.10,20.000,0,0,0,10.000
__import__.product_3444395,0.10,440.000,0,0,0,240.000
__import__.product_3445848,0.20,10.000,0,0,0,4.000
__import__.product_3449121,0.10,120.000,0,0,0,60.000
__import__.product_3457199,2.00,10.000,0,0,0,4.000
__import__.product_3457934,0.40,99.000,0,0,0,27.000
__import__.product_3457942,0.40,24.000,0,0,0,18.000
__import__.product_3458551,0.20,6.000,0,0,0,3.000
__import__.product_3467123,0.20,2.000,0,0,0,1.000
__import__.product_3467131,0.20,5.000,0,0,0,3.000
__import__.product_3479110,0.20,20.000,0,0,0,10.000
__import__.product_3489598,1.00,200.000,0,0,0,100.000
__import__.product_3489606,1.00,20.000,0,0,0,10.000
__import__.product_3493657,1.40,60.000,0,0,0,24.000
__import__.product_3495041,0.10,15.000,0,0,0,5.000
__import__.product_3495249,0.10,6.000,0,0,0,2.000
__import__.product_3496551,0.30,40.000,0,0,0,20.000
__import__.product_3497609,0.20,28.000,5.50,5.50,10.50,12.000
__import__.product_3498987,0.30,6.000,0,0,0,3.000
__import__.product_3498995,0.30,2.000,0,0,0,1.000
__import__.product_3499001,0.30,2.000,0,0,0,1.000
__import__.product_3499019,0.30,12.000,0,0,0,8.000
__import__.product_3501228,0.10,2.000,0,0,0,1.000
__import__.product_3501236,0.20,6.000,0,0,0,3.000
__import__.product_3507415,3.00,6.000,0,0,0,4.000
__import__.product_3508181,0.10,84.000,0,0,0,60.000
__import__.product_3508363,0.10,80.000,0,0,0,40.000
__import__.product_3508371,0.10,40.000,0,0,0,20.000
__import__.product_3508389,0.30,8.000,0,0,0,4.000
__import__.product_3508397,0.10,20.000,0,0,0,10.000
__import__.product_3508405,0.30,8.000,0,0,0,4.000
__import__.product_3508413,0.10,10.000,0,0,0,5.000
__import__.product_3508421,0.30,5.000,0,0,0,3.000
__import__.product_3508439,0.10,10.000,0,0,0,5.000
__import__.product_3508447,0.40,4.000,0,0,0,2.000
__import__.product_3518651,1.50,12.000,0,0,0,6.000
__import__.product_3520400,0.10,40.000,0,0,0,20.000
__import__.product_3525000,1.30,15.000,30.00,19.80,8.30,7.000
__import__.product_3526700,3.00,8.000,23.00,25.00,10.00,4.000
__import__.product_3531900,5.00,26.000,41.60,31.70,9.00,9.000
__import__.product_3532200,3.00,7.000,23.00,25.00,10.00,3.000
__import__.product_3532400,3.00,5.000,23.00,25.00,10.00,2.000
__import__.product_3532500,3.00,6.000,23.00,25.00,10.00,2.000
__import__.product_3532600,1.50,5.000,21.00,19.00,8.00,1.000
__import__.product_3533593,0.20,24.000,0,0,0,12.000
__import__.product_3533601,0.20,24.000,0,0,0,12.000
__import__.product_3534567,0.50,36.000,0,0,0,24.000
__import__.product_3535598,0.10,4.000,0,0,0,2.000
__import__.product_3535853,0.50,15.000,0,0,0,10.000
__import__.product_3535861,0.10,10.000,0,0,0,6.000
__import__.product_3535879,0.50,10.000,0,0,0,6.000
__import__.product_3541695,0.10,14.000,0,0,0,6.000
__import__.product_3550100,0.10,24.000,0,0,0,10.000
__import__.product_3550431,0.20,20.000,0,0,0,10.000
__import__.product_3550449,0.20,36.000,0,0,0,12.000
__import__.product_3550456,0.20,30.000,0,0,0,15.000
__import__.product_3550464,0.20,12.000,0,0,0,6.000
__import__.product_3550472,0.30,120.000,0,0,0,60.000
__import__.product_3550480,0.30,6.000,0,0,0,3.000
__import__.product_3550498,0.20,24.000,0,0,0,12.000
__import__.product_3555000,3.50,85.000,44.80,30.20,11.10,30.000
__import__.product_3557500,4.70,8.000,35.20,26.00,9.70,3.000
__import__.product_3562154,0.20,12.000,0,0,0,6.000
__import__.product_3562824,3.00,30.000,0,0,0,20.000
__import__.product_3562832,7.00,10.000,0,0,0,6.000
__import__.product_3562840,12.00,60.000,0,0,0,30.000
__import__.product_3562857,3.00,25.000,0,0,0,15.000
__import__.product_3562865,7.00,8.000,0,0,0,4.000
__import__.product_3562873,12.00,30.000,0,0,0,15.000
__import__.product_3562881,3.00,27.000,0,0,0,15.000
__import__.product_3562899,12.00,60.000,0,0,0,27.000
__import__.product_3562907,1.50,12.000,0,0,0,8.000
__import__.product_3562915,3.00,60.000,0,0,0,27.000
__import__.product_3562923,7.00,16.000,0,0,0,8.000
__import__.product_3562931,12.00,55.000,0,0,0,25.000
__import__.product_3562949,3.00,30.000,0,0,0,20.000
__import__.product_3562956,7.00,16.000,0,0,0,8.000
__import__.product_3562964,12.00,65.000,0,0,0,35.000
__import__.product_3562972,3.00,55.000,0,0,0,20.000
__import__.product_3562980,12.00,12.000,0,0,0,7.000
__import__.product_3562998,3.00,45.000,0,0,0,20.000
__import__.product_3563004,12.00,10.000,0,0,0,4.000
__import__.product_3563012,1.50,30.000,0,0,0,15.000
__import__.product_3563038,1.50,45.000,0,0,0,20.000
__import__.product_3563053,7.00,24.000,0,0,0,12.000
__import__.product_3563061,1.50,12.000,0,0,0,8.000
__import__.product_3563087,1.50,10.000,0,0,0,6.000
__import__.product_3563103,7.00,6.000,0,0,0,3.000
__import__.product_3563111,1.50,30.000,0,0,0,10.000
__import__.product_3563137,7.00,5.000,0,0,0,2.000
__import__.product_3563145,1.50,45.000,0,0,0,25.000
__import__.product_3563160,1.50,40.000,0,0,0,20.000
__import__.product_3571635,0.20,24.000,0,0,0,12.000
__import__.product_3581949,0.10,100.000,0,0,0,50.000
__import__.product_3581956,0.20,200.000,0,0,0,100.000
__import__.product_3582277,0.20,40.000,0,0,0,24.000
__import__.product_3585833,0.20,20.000,0,0,0,10.000
__import__.product_3585841,0.20,35.000,0,0,0,16.000
__import__.product_3589769,0.10,24.000,0,0,0,12.000
__import__.product_3590072,0.20,2.000,0,0,0,1.000
__import__.product_3590080,0.20,3.000,0,0,0,1.000
__import__.product_3595790,0.30,36.000,0,0,0,12.000
__import__.product_3597283,0.40,20.000,0,0,0,10.000
__import__.product_3597770,0.10,110.000,0,0,0,50.000
__import__.product_3597788,0.10,500.000,0,0,0,300.000
__import__.product_3597804,0.10,70.000,0,0,0,30.000
__import__.product_3604204,0.20,40.000,0,0,0,20.000
__import__.product_3604212,0.20,25.000,0,0,0,5.000
__import__.product_3604220,0.20,20.000,0,0,0,10.000
__import__.product_3604238,0.20,20.000,0,0,0,10.000
__import__.product_3604246,0.20,20.000,0,0,0,10.000
__import__.product_3604247,0.20,30.000,0,0,0,20.000
__import__.product_3606852,0.10,10.000,0,0,0,6.000
__import__.product_3606860,0.10,10.000,0,0,0,6.000
__import__.product_3606878,0.10,4.000,0,0,0,2.000
__import__.product_3607686,0.10,20.000,0,0,0,10.000
__import__.product_3621075,1.00,6.000,0,0,0,3.000
__import__.product_3621166,0.10,24.000,0,0,0,14.000
__import__.product_3621174,0.10,26.000,0,0,0,14.000
__import__.product_3621182,0.10,12.000,0,0,0,6.000
__import__.product_3621190,0.10,10.000,0,0,0,6.000
__import__.product_3632668,0.10,100.000,0,0,0,50.000
__import__.product_3640943,0.10,144.000,0,0,0,96.000
__import__.product_3641875,0.50,10.000,0,0,0,6.000
__import__.product_3641982,0.30,48.000,0,0,0,24.000
__import__.product_3642907,0.10,48.000,0,0,0,24.000
__import__.product_3643525,11.00,8.000,0,0,0,4.000
__import__.product_3643533,11.00,12.000,0,0,0,6.000
__import__.product_3643541,11.00,8.000,0,0,0,4.000
__import__.product_3659414,0.30,12.000,0,0,0,6.000
__import__.product_3664174,11.00,10.000,0,0,0,6.000
__import__.product_3664182,11.00,8.000,0,0,0,4.000
__import__.product_3672342,0.30,4.000,0,0,0,2.000
__import__.product_3704103,0.60,8.000,0,0,0,4.000
__import__.product_3719648,0.20,30.000,0,0,0,20.000
__import__.product_3719655,0.20,200.000,0,0,0,80.000
__import__.product_3738598,0.10,4.000,11.00,8.00,4.50,2.000
__import__.product_3738606,0.20,4.000,4.00,4.00,12.80,2.000
__import__.product_3738655,0.10,4.000,11.00,8.00,4.50,2.000
__import__.product_3748910,0.30,120.000,0,0,0,60.000
__import__.product_4004100,1.80,120.000,0,0,0,60.000
__import__.product_4004110,1.80,60.000,0,0,0,40.000
__import__.product_4004120,1.80,120.000,0,0,0,60.000
__import__.product_4004131,4.00,400.000,0,0,0,200.000
__import__.product_4004132,3.90,60.000,0,0,0,40.000
__import__.product_4004133,4.00,40.000,0,0,0,20.000
__import__.product_4004134,4.00,50.000,0,0,0,30.000
__import__.product_4005026,4.00,75.000,32.00,25.00,12.00,34.000
__import__.product_4005902,2.00,149.000,28.00,19.00,10.00,67.000
__import__.product_4005922,2.00,104.000,28.00,19.00,10.00,47.000
__import__.product_4006021,0.40,18.000,19.00,14.00,6.00,6.000
__import__.product_4006022,1.50,136.000,25.00,19.00,8.50,55.000
__import__.product_4006025,10.00,316.000,60.00,39.00,12.00,128.000
__import__.product_4006104,3.50,150.000,31.40,26.60,12.00,80.000
__import__.product_4006111,0.40,18.000,19.00,14.00,6.00,7.000
__import__.product_4006112,1.50,36.000,25.00,19.00,28.00,16.000
__import__.product_4007021,0.40,20.000,25.00,19.60,9.00,12.000
__import__.product_4007022,1.50,154.000,25.00,19.60,9.00,63.000
__import__.product_4007025,10.00,166.000,60.00,39.00,12.00,67.000
__import__.product_4007104,3.50,155.000,31.40,26.60,12.00,70.000
__import__.product_4007122,1.50,26.000,25.00,19.00,8.50,14.000
__import__.product_4007222,1.60,53.000,0,0,0,24.000
__import__.product_4007224,8.50,59.000,0,0,0,23.000
__import__.product_4007225,13.00,62.000,0,0,0,28.000
__import__.product_4008025,10.00,105.000,65.00,39.00,12.00,43.000
__import__.product_4008026,0.40,20.000,19.00,14.00,6.00,8.000
__import__.product_4008031,1.50,30.000,25.00,19.00,8.50,14.000
__import__.product_4008036,10.00,24.000,60.00,39.00,12.00,14.000
__import__.product_4009011,1.50,48.000,25.00,19.00,8.50,20.000
__import__.product_4009015,6.00,49.000,52.00,37.00,10.00,22.000
__import__.product_4009016,0.40,12.000,19.00,14.00,6.00,5.000
__import__.product_4009031,1.50,37.000,25.00,19.00,8.50,15.000
__import__.product_4009036,0.40,13.000,19.00,14.00,16.00,6.000
__import__.product_4009052,2.00,30.000,28.00,19.00,10.00,12.000
__import__.product_4009053,8.00,70.000,56.00,38.00,8.00,29.000
__import__.product_4009091,1.50,32.000,25.00,19.00,8.50,14.000
__import__.product_4009094,3.50,83.000,33.00,25.00,12.00,38.000
__import__.product_4064007,0,100.000,0,0,0,50.000
__import__.product_4064009,0,100.000,0,0,0,50.000
__import__.product_4100004,4.00,120.000,0,0,0,100.000
__import__.product_4100005,4.50,110.000,0,0,0,90.000
__import__.product_4110005,4.50,156.000,35.00,26.70,12.00,75.000
__import__.product_4120101,0.40,144.000,19.00,14.00,6.00,72.000
__import__.product_4120102,2.00,317.000,28.00,19.00,10.00,153.000
__import__.product_4120103,4.00,355.000,32.00,25.00,12.00,171.000
__import__.product_4120104,4.00,180.000,0,0,0,150.000
__import__.product_4120131,2.00,26.000,28.00,19.00,10.00,14.000
__import__.product_4120132,4.00,20.000,32.00,25.00,12.00,10.000
__import__.product_4120151,0.40,18.000,19.00,14.00,6.00,6.000
__import__.product_4120152,2.00,48.000,28.00,19.00,10.00,23.000
__import__.product_4120154,4.00,112.000,32.00,24.00,12.00,54.000
__import__.product_4120181,0.40,22.000,19.00,14.00,6.00,17.000
__import__.product_4120182,2.00,124.000,28.00,19.00,10.00,60.000
__import__.product_4120183,4.00,161.000,32.00,25.00,12.00,87.000
__import__.product_4130002,1.50,119.000,25.00,19.60,9.00,58.000
__import__.product_4130003,3.50,192.000,32.00,25.00,12.00,80.000
__import__.product_4140002,1.50,60.000,25.00,19.60,9.00,30.000
__import__.product_4140004,3.50,175.000,31.40,26.60,12.00,85.000
__import__.product_4140006,6.00,50.000,52.00,37.00,10.00,32.000
__import__.product_4140111,1.50,50.000,0,0,0,27.000
__import__.product_4140113,6.00,50.000,0,0,0,28.000
__import__.product_4150002,2.00,243.000,28.00,19.20,10.00,117.000
__import__.product_4150004,4.00,172.000,30.10,26.20,12.00,83.000
__import__.product_4150102,2.00,121.000,28.00,19.00,10.00,58.000
__import__.product_4150201,0.50,30.000,0,0,0,18.000
__import__.product_4160102,0.40,53.000,19.00,14.00,6.00,29.000
__import__.product_4160103,1.50,542.000,25.00,19.00,8.50,261.000
__import__.product_4160104,3.50,680.000,33.00,25.00,12.00,270.000
__import__.product_4160107,7.00,200.000,0,0,0,100.000
__import__.product_4160122,1.50,89.000,25.00,19.00,8.50,43.000
__import__.product_4160123,3.50,177.000,32.00,25.00,12.00,85.000
__import__.product_4160125,9.00,20.000,0,0,0,10.000
__import__.product_4160126,7.00,72.000,0,0,0,40.000
__import__.product_4170007,1.50,40.000,25.00,19.00,8.50,20.000
__import__.product_4170008,3.50,68.000,33.00,25.00,12.00,33.000
__import__.product_4180002,1.50,19.000,25.00,19.60,9.00,9.000
__import__.product_4180302,4.00,177.000,33.00,25.00,12.00,85.000
__import__.product_4210002,2.00,96.000,28.00,19.20,10.00,52.000
__import__.product_4210014,14.00,19.000,70.00,38.00,12.00,10.000
__import__.product_4210101,1.50,216.000,25.00,19.00,8.50,108.000
__import__.product_4210102,6.00,127.000,52.00,37.00,10.00,61.000
__import__.product_4210130,1.20,329.000,20.00,10.00,14.50,158.000
__import__.product_4210132,1.50,74.000,25.00,19.00,8.50,36.000
__import__.product_4212008,7.00,50.000,57.00,36.00,9.00,20.000
__import__.product_4213002,1.50,6.000,25.00,19.60,9.00,2.000
__import__.product_4213005,5.00,23.000,53.00,36.00,9.00,11.000
__import__.product_4213014,14.00,61.000,70.00,38.00,12.00,27.000
__import__.product_4214006,6.00,12.000,52.00,37.00,10.00,5.000
__import__.product_4214014,14.00,28.000,70.00,38.00,12.00,12.000
__import__.product_4215003,3.50,75.000,33.00,25.00,12.00,30.000
__import__.product_4217004,7.00,56.000,57.00,36.00,9.00,27.000
__import__.product_4217007,2.00,20.000,28.00,19.00,10.00,8.000
__import__.product_4220002,2.00,347.000,28.00,19.20,10.00,167.000
__import__.product_4220007,7.00,265.000,61.00,37.90,10.00,128.000
__import__.product_4220107,7.00,176.000,60.00,36.00,9.00,85.000
__import__.product_4220141,1.00,61.000,26.00,17.50,6.70,33.000
__import__.product_4220151,2.00,27.000,28.00,19.00,10.00,13.000
__import__.product_4220152,4.00,64.000,32.00,24.00,12.00,31.000
__import__.product_4220171,2.00,14.000,28.00,19.00,10.00,8.000
__import__.product_4220173,12.00,54.000,73.00,39.00,12.00,29.000
__import__.product_4220190,3.00,64.000,31.00,26.00,11.00,35.000
__import__.product_4220193,8.00,300.000,56.00,38.00,8.00,200.000
__import__.product_4230101,2.00,483.000,28.00,19.00,10.00,233.000
__import__.product_4230103,14.00,396.000,70.00,38.00,12.00,213.000
__import__.product_4230111,2.50,74.000,30.00,19.00,10.00,36.000
__import__.product_4230112,10.00,37.000,60.00,39.00,12.00,20.000
__import__.product_4230121,2.00,58.000,28.00,19.00,10.00,31.000
__import__.product_4230123,14.00,60.000,70.00,38.00,12.00,40.000
__import__.product_4230131,2.00,53.000,28.00,19.00,10.00,26.000
__import__.product_4230132,7.50,25.000,60.00,39.00,10.00,14.000
__import__.product_4230133,14.00,53.000,70.00,38.00,12.00,29.000
__import__.product_4250002,1.50,216.000,25.00,19.60,9.00,120.000
__import__.product_4250006,6.00,206.000,54.60,37.00,10.00,80.000
__import__.product_4250014,14.00,210.000,70.00,38.00,12.00,86.000
__import__.product_4250102,1.50,142.000,25.00,19.60,9.00,69.000
__import__.product_4250106,6.00,194.000,0,0,0,105.000
__import__.product_4250112,12.00,840.000,70.00,39.00,12.00,405.000
__import__.product_4260002,2.00,163.000,28.00,19.20,10.00,79.000
__import__.product_4260007,7.00,85.000,61.00,37.90,10.00,41.000
__import__.product_4260014,14.00,180.000,70.00,38.00,12.00,84.000
__import__.product_4260101,2.00,22.000,0,0,0,10.000
__import__.product_4260102,10.00,10.000,0,0,0,5.000
__import__.product_4260201,2.00,20.000,0,0,0,10.000
__import__.product_4260202,10.00,10.000,0,0,0,5.000
__import__.product_4270002,2.00,201.000,28.00,19.20,10.00,97.000
__import__.product_4270007,7.50,116.000,60.00,39.00,10.00,56.000
__import__.product_4270014,14.00,263.000,70.00,38.00,12.00,110.000
__import__.product_4270102,2.00,12.000,28.00,19.00,10.00,6.000
__import__.product_4270107,7.50,10.000,60.00,39.00,10.00,5.000
__import__.product_4270114,14.00,72.000,70.00,38.00,12.00,37.000
__import__.product_4270131,1.50,64.000,25.00,19.00,8.50,31.000
__import__.product_4270132,6.50,71.000,56.00,36.00,9.00,34.000
__import__.product_4270142,4.00,61.000,32.00,24.00,12.00,35.000
__import__.product_4280101,1.50,138.000,25.00,19.00,8.50,67.000
__import__.product_4280102,6.00,96.000,52.00,37.00,10.00,46.000
__import__.product_4290211,2.00,36.000,0,0,0,18.000
__import__.product_4290212,7.00,64.000,0,0,0,32.000
__import__.product_4290213,12.00,420.000,0,0,0,250.000
__import__.product_4290302,4.00,67.000,32.00,25.00,12.00,33.000
__import__.product_4391055,0.50,7.000,7.50,7.00,16.00,2.000
__import__.product_4447063,0.10,22.000,5.00,5.00,9.70,7.000
__import__.product_4500201,1.00,14.000,21.00,17.00,7.00,7.000
__import__.product_4500205,10.00,92.000,60.00,39.00,12.00,37.000
__import__.product_4500225,10.00,263.000,65.00,39.00,12.00,106.000
__import__.product_4500241,1.00,11.000,26.00,17.50,6.70,2.000
__import__.product_4500245,14.00,183.000,70.00,38.00,12.00,74.000
__import__.product_4500281,0.80,15.000,22.00,18.00,8.00,7.000
__import__.product_4500284,3.50,800.000,33.00,25.00,12.00,323.000
__import__.product_4500285,8.00,771.000,56.00,38.00,8.00,311.000
__import__.product_4500305,10.00,18.000,60.00,39.00,12.00,8.000
__import__.product_4500324,3.50,121.000,33.00,25.00,12.00,49.000
__import__.product_4500325,10.00,640.000,65.00,39.00,12.00,258.000
__import__.product_4500344,4.00,5.000,32.00,24.00,12.00,3.000
__import__.product_4500364,3.50,40.000,33.00,25.00,12.00,18.000
__import__.product_4500365,12.00,600.000,73.00,39.00,12.00,300.000
__import__.product_4500381,2.00,62.000,28.00,19.00,10.00,25.000
__import__.product_4500382,4.00,101.000,32.00,25.00,12.00,41.000
__import__.product_4500383,8.00,85.000,56.00,38.00,8.00,38.000
__import__.product_4500404,3.50,118.000,33.00,25.00,12.00,48.000
__import__.product_4500424,3.50,29.000,33.00,25.00,12.00,13.000
__import__.product_4500445,14.00,133.000,70.00,38.00,12.00,60.000
__import__.product_4500461,0.80,18.000,23.00,17.00,6.50,7.000
__import__.product_4500462,2.00,71.000,28.00,19.00,10.00,29.000
__import__.product_4507799,0.50,3.000,0,0,0,1.000
__import__.product_4634434,0.50,2.000,0,0,0,1.000
__import__.product_4741294,1.60,4.000,15.00,17.00,10.00,2.000
__import__.product_4841239,0.20,48.000,12.00,9.70,9.60,24.000
__import__.product_4896861,15.00,6.000,31.00,31.00,42.50,3.000
__import__.product_4900001,1.30,130.000,0,0,0,70.000
__import__.product_4900003,1.20,117.000,20.00,10.00,14.50,53.000
__import__.product_4900004,1.20,178.000,40.00,19.70,14.30,72.000
__import__.product_4900402,1.20,387.000,40.00,19.70,14.30,200.000
__import__.product_4900403,1.20,82.000,20.00,10.00,14.00,38.000
__import__.product_4900450,12.00,117.000,73.00,39.00,12.00,63.000
__import__.product_4900501,1.20,150.000,20.00,10.00,14.00,80.000
__import__.product_4901407,0,60.000,0,0,0,30.000
__import__.product_4901603,1.20,475.000,20.00,10.00,14.00,229.000
__import__.product_4901604,1.20,113.000,20.00,10.00,14.50,61.000
__import__.product_4901703,1.20,478.000,20.00,10.00,14.00,300.000
__import__.product_4902404,1.20,804.000,0,0,0,373.000
__import__.product_4902602,1.20,337.000,20.00,10.00,14.00,163.000
__import__.product_4905435,0.40,20.000,18.20,16.80,16.50,9.000
__import__.product_4910041,4.90,122.000,31.00,22.90,11.40,59.000
__import__.product_4910045,4.90,140.000,30.50,23.00,11.00,84.000
__import__.product_4910100,4.80,140.000,30.00,23.00,11.00,60.000
__import__.product_4930043,4.80,190.000,30.50,23.00,11.00,92.000
__import__.product_4970037,1.50,60.000,0,0,0,30.000
