id,list_price,orderpoint_max,depth,width,length,orderpoint_min
__import__.product_8070000,5.50,4.000,20.20,6.90,6.90,2.000
__import__.product_8100994,14.60,14.000,29.50,16.50,9.00,10.000
__import__.product_8106330,24.50,23.000,4.50,25.80,16.60,9.000
__import__.product_8106347,24.50,23.000,4.60,25.80,16.60,10.000
__import__.product_8112810,8.50,20.000,0,0,0,10.000
__import__.product_8112885,9.10,12.000,0,0,0,6.000
__import__.product_8134214,7.30,20.000,0,0,0,10.000
__import__.product_8165006,9.60,4.000,23.00,3.30,12.50,2.000
__import__.product_8181627,12.20,5.000,0,0,0,2.000
__import__.product_8188612,12.00,12.000,1.20,24.00,29.00,6.000
__import__.product_8199892,40.00,8.000,0,0,0,4.000
__import__.product_8211914,51.00,4.000,0,0,0,2.000
__import__.product_8215006,67.50,6.000,0,0,0,3.000
__import__.product_8218603,41.60,5.000,5.00,0.30,8.00,2.000
__import__.product_8222935,12.40,10.000,0,0,0,5.000
__import__.product_8236937,22.50,8.000,0,0,0,7.000
__import__.product_8241820,15.50,48.000,8.20,0.80,9.00,24.000
__import__.product_8241825,15.50,12.000,8.20,0.90,9.20,6.000
__import__.product_8242560,30.20,6.000,8.20,0.90,9.10,3.000
__import__.product_8270001,6.00,6.000,11.90,16.70,18.40,3.000
__import__.product_8270059,14.10,6.000,13.00,6.70,6.70,3.000
__import__.product_8270067,14.00,12.000,18.50,19.20,26.00,8.000
__import__.product_8270071,5.70,11.000,11.70,17.00,18.30,3.000
__import__.product_8270167,4.30,12.000,17.20,5.20,5.20,6.000
__import__.product_8270187,81.90,4.000,1.90,34.40,41.30,2.000
__import__.product_8270528,70.20,6.000,12.80,19.70,19.90,5.000
__import__.product_8276220,650.00,4.000,0,0,0,2.000
__import__.product_8330016,18.30,38.000,9.10,17.50,20.70,28.000
__import__.product_8337265,31.20,15.000,32.70,15.40,19.00,10.000
__import__.product_8345307,13.40,20.000,0,0,0,10.000
__import__.product_8345313,14.10,14.000,0,0,0,7.000
__import__.product_8345359,19.50,2.000,0,0,0,1.000
__import__.product_8345371,13.40,4.000,0,0,0,2.000
__import__.product_8345388,14.10,6.000,0,0,0,3.000
__import__.product_8345394,15.90,4.000,0,0,0,2.000
__import__.product_8345402,18.70,2.000,0,0,0,1.000
__import__.product_8345419,19.50,2.000,0,0,0,1.000
__import__.product_8371374,4.00,28.000,0,0,0,14.000
__import__.product_8387903,21.50,4.000,25.50,1.80,38.00,2.000
__import__.product_8427057,14.30,10.000,28.50,23.00,23.00,5.000
__import__.product_8428430,5.90,5.000,4.50,21.40,21.40,1.000
__import__.product_8429197,5.70,4.000,13.00,32.50,42.00,2.000
__import__.product_8433537,186.00,8.000,38.80,9.00,27.50,4.000
__import__.product_8456567,25.00,20.000,9.50,27.50,33.00,8.000
__import__.product_8480034,23.10,2.000,0,0,0,1.000
__import__.product_8492882,7.00,2.000,0,0,0,1.000
__import__.product_9001323,124.00,2.000,0,0,0,1.000
__import__.product_9501322,69.70,2.000,0,0,0,1.000
__import__.product_9512015,6.80,300.000,9.30,3.10,3.10,150.000
__import__.product_9512029,8.40,10.000,11.40,3.40,3.40,5.000
