id,list_price,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_8336171,1.00,0,400.000,0,0,0,200.000
__import__.product_8337704,6.50,0,40.000,0,0,0,20.000
__import__.product_8337727,21.40,0,4.000,0,0,0,2.000
__import__.product_8337733,21.40,0,4.000,0,0,0,2.000
__import__.product_8339531,10.20,0,72.000,0,0,0,36.000
__import__.product_8345336,15.90,0,8.000,0,0,0,4.000
__import__.product_8345342,18.70,0,6.000,0,0,0,3.000
__import__.product_8345365,19.70,0,2.000,0,0,0,1.000
__import__.product_8347312,4.00,0,2.000,0,0,0,1.000
__import__.product_8359108,11.00,0,6.000,0,0,0,2.000
__import__.product_8359120,11.00,0,6.000,0,0,0,2.000
__import__.product_8361950,1.90,0,40.000,0,0,0,20.000
__import__.product_8362547,115.00,0,2.000,0,0,0,1.000
__import__.product_8365758,108.00,0,2.000,0,0,0,1.000
__import__.product_8371351,4.00,0,6.000,0,0,0,3.000
__import__.product_8371368,4.00,0,10.000,0,0,0,5.000
__import__.product_8371380,4.00,0,20.000,0,0,0,10.000
__import__.product_8371397,4.00,0,20.000,0,0,0,10.000
__import__.product_8375745,40.00,0,2.000,0,0,0,1.000
__import__.product_8375751,40.00,0,2.000,0,0,0,1.000
__import__.product_8376673,19.30,0,2.000,0,0,0,1.000
__import__.product_8376696,19.30,0,2.000,0,0,0,1.000
__import__.product_8376704,19.30,0,2.000,0,0,0,1.000
__import__.product_8380781,114.00,0,6.000,0,0,0,3.000
__import__.product_8381473,3.10,0,12.000,0,0,0,6.000
__import__.product_8382366,23.00,0,6.000,0,0,0,4.000
__import__.product_8382389,22.00,0,6.000,0,0,0,4.000
__import__.product_8383265,14.00,0,2.000,0,0,0,1.000
__import__.product_8383271,121.80,0,2.000,0,0,0,1.000
__import__.product_8383302,90.40,0,8.000,0,0,0,4.000
__import__.product_8387576,18.60,0,2.000,0,0,0,1.000
__import__.product_8389664,19.80,0,2.000,0,0,0,1.000
__import__.product_8389670,19.80,0,2.000,0,0,0,1.000
__import__.product_8389687,19.80,0,6.000,0,0,0,3.000
__import__.product_8402146,19.20,0,4.000,0,0,0,2.000
__import__.product_8487013,44.50,1.60,2.000,40.20,24.90,23.00,1.000
__import__.product_9512048,82.00,0.10,3.000,0,0,0,1.000
